Tag,Colony,Date,total_followed,total_movement,total_follower,count,sex,age,Total_Adults,Total_Adult_Females,Total_Adult_Males,Total_Subadults,Total_Juveniles,Group_Size
515,37,22/06/2012,0,10,0,22,2,1,4,3,1,0,0,4
515,37,24/06/2012,0,4,0,16,2,1,4,3,1,0,0,4
515,37,28/06/2012,0,5,0,17,2,1,4,3,1,0,0,4
515,37,29/06/2012,0,10,0,17,2,1,4,3,1,0,0,4
515,37,30/06/2012,0,2,0,18,2,1,4,3,1,0,0,4
516,8.1,02/07/2012,0,5,0,28,1,1,5,3,2,2,0,7
516,8.1,02/08/2012,0,1,0,1,1,1,3,1,2,2,0,5
516,8.1,03/07/2012,0,8,0,12,1,1,5,3,2,2,0,7
516,8.1,03/08/2012,0,3,0,12,1,1,4,2,2,2,0,6
516,8.1,04/08/2012,0,3,0,6,1,1,3,1,2,2,0,5
516,8.1,10/08/2012,0,1,0,1,1,1,4,2,2,1,0,6
516,8.1,15/07/2012,0,3,0,15,1,1,4,3,1,2,0,6
516,8.1,17/07/2012,0,3,0,10,1,1,9,4,5,4,0,13
516,8.1,29/07/2012,0,2,0,2,1,1,2,1,1,1,0,4
516,8.1,30/06/2012,0,3,0,7,1,1,5,3,2,2,0,7
516,8.1,31/07/2012,0,6,0,13,1,1,5,3,2,3,0,8
516,44,03/07/2012,0,8,0,12,1,1,3,0,3,1,0,4
516,44,04/07/2012,0,2,0,2,1,1,2,0,2,0,0,2
516,44,13/07/2012,0,7,0,9,1,1,3,1,2,1,0,4
518,8.1,05/06/2012,0,5,0,5,1,1,5,2,3,2,0,7
518,8.1,11/06/2012,0,12,0,22,1,1,8,3,5,2,0,10
518,8.1,16/06/2012,0,4,1,4,1,1,10,3,7,2,0,12
518,44,01/07/2012,0,10,0,21,1,1,4,2,2,1,0,5
518,44,02/07/2012,0,5,0,25,1,1,2,0,2,1,0,3
518,44,03/07/2012,0,10,0,24,1,1,3,0,3,1,0,4
518,44,04/07/2012,0,6,0,13,1,1,2,0,2,0,0,2
518,44,08/06/2012,1,8,0,13,1,1,2,1,1,1,0,3
518,44,09/07/2012,0,6,0,24,1,1,4,2,2,1,0,5
518,44,11/06/2012,0,12,0,22,1,1,3,1,2,1,0,4
518,44,12/07/2012,0,12,0,21,1,1,4,2,2,1,0,5
518,44,13/07/2012,0,4,0,8,1,1,3,1,2,1,0,4
518,44,19/06/2012,1,4,0,14,1,1,3,1,2,1,0,4
518,44,20/06/2012,0,1,0,11,1,1,4,1,3,1,0,5
518,44,21/06/2012,0,9,0,12,1,1,4,2,2,1,0,5
518,44,24/06/2012,0,2,0,10,1,1,3,1,2,1,0,4
518,44,30/06/2012,0,2,0,5,1,1,3,2,1,0,0,3
520,8.1,05/06/2012,0,2,0,3,1,1,5,2,3,2,0,7
520,8.1,11/06/2012,1,12,0,15,1,1,8,3,5,2,0,10
520,8.1,15/06/2012,0,3,0,4,1,1,8,3,5,2,0,10
520,8.1,16/06/2012,0,3,0,7,1,1,10,3,7,2,0,12
520,44,01/07/2012,0,5,0,23,1,1,4,2,2,1,0,5
520,44,02/07/2012,0,8,1,23,1,1,2,0,2,1,0,3
520,44,09/07/2012,0,3,0,21,1,1,4,2,2,1,0,5
520,44,11/06/2012,1,12,0,15,1,1,3,1,2,1,0,4
520,44,11/07/2012,0,13,1,34,1,1,3,2,1,1,0,4
520,44,12/07/2012,0,27,6,49,1,1,4,2,2,1,0,5
520,44,19/06/2012,0,15,0,27,1,1,3,1,2,1,0,4
520,44,20/06/2012,0,5,0,13,1,1,4,1,3,1,0,5
520,44,21/06/2012,0,8,0,10,1,1,4,2,2,1,0,5
520,44,23/05/2012,0,1,0,1,1,1,3,1,2,1,0,4
520,44,24/06/2012,0,2,0,15,1,1,3,1,2,1,0,4
520,44,28/06/2012,0,13,2,25,1,1,3,2,1,1,0,4
523,44,01/07/2012,0,4,0,23,2,1,4,2,2,1,0,5
523,44,09/07/2012,0,3,0,22,2,1,4,2,2,1,0,5
523,44,11/07/2012,0,9,0,28,2,1,3,2,1,1,0,4
523,44,12/07/2012,0,6,0,28,2,1,4,2,2,1,0,5
523,44,21/06/2012,0,5,0,7,2,1,4,2,2,1,0,5
523,44,28/06/2012,0,4,0,6,2,1,3,2,1,1,0,4
523,44,30/06/2012,0,1,0,12,2,1,3,2,1,0,0,3
524,44,01/07/2012,0,4,0,20,2,1,4,2,2,1,0,5
524,44,08/06/2012,0,3,0,8,2,1,2,1,1,1,0,3
524,44,09/07/2012,0,6,0,20,2,1,4,2,2,1,0,5
524,44,11/06/2012,1,3,0,4,2,1,3,1,2,1,0,4
524,44,11/07/2012,0,13,1,41,2,1,3,2,1,1,0,4
524,44,12/07/2012,0,15,0,46,2,1,4,2,2,1,0,5
524,44,13/07/2012,0,2,0,2,2,1,3,1,2,1,0,4
524,44,19/06/2012,1,6,0,21,2,1,3,1,2,1,0,4
524,44,20/06/2012,0,2,0,14,2,1,4,1,3,1,0,5
524,44,21/06/2012,0,3,0,6,2,1,4,2,2,1,0,5
524,44,23/05/2012,0,3,1,8,2,1,3,1,2,1,0,4
524,44,24/06/2012,0,1,0,8,2,1,3,1,2,1,0,4
524,44,28/06/2012,0,6,0,12,2,1,3,2,1,1,0,4
524,44,30/06/2012,0,2,0,3,2,1,3,2,1,0,0,3
525,8.1,02/07/2012,0,3,0,26,2,2,5,3,2,2,0,7
525,8.1,02/08/2012,0,2,0,11,2,2,3,1,2,2,0,5
525,8.1,03/07/2012,0,4,0,12,2,2,5,3,2,2,0,7
525,8.1,03/08/2012,0,5,1,15,2,2,4,2,2,2,0,6
525,8.1,04/07/2012,0,4,0,10,2,2,4,3,1,2,0,6
525,8.1,04/08/2012,0,2,0,5,2,2,3,1,2,2,0,5
525,8.1,05/06/2012,0,6,0,29,2,2,5,2,3,2,0,7
525,8.1,10/08/2012,0,3,0,3,2,2,4,2,2,1,0,6
525,8.1,11/06/2012,0,7,0,17,2,2,8,3,5,2,0,10
525,8.1,15/06/2012,0,6,0,18,2,2,8,3,5,2,0,10
525,8.1,15/07/2012,0,2,0,11,2,2,4,3,1,2,0,6
525,8.1,16/06/2012,0,3,0,11,2,2,10,3,7,2,0,12
525,8.1,16/07/2012,0,3,0,10,2,2,3,3,0,2,0,5
525,8.1,17/07/2012,1,5,0,35,2,2,9,4,5,4,0,13
